iter	Passed	Remaining
0	1	105
1	1	94
2	2	89
3	3	80
4	4	78
5	4	77
6	5	77
7	6	76
8	7	75
9	8	74
10	9	73
11	10	74
12	11	74
13	12	74
14	12	73
15	13	72
16	14	72
17	15	72
18	16	71
19	17	70
20	18	70
21	19	68
22	20	67
23	21	66
24	22	66
25	22	64
26	23	63
27	23	63
28	24	62
29	25	62
30	27	62
31	28	61
32	28	60
33	29	59
34	30	58
35	31	57
36	32	56
37	33	56
38	34	55
39	41	63
40	42	62
41	42	60
42	43	59
43	44	57
44	45	56
45	46	55
46	46	53
47	47	52
48	48	51
49	49	50
50	50	49
51	50	47
52	51	46
53	52	45
54	53	44
55	54	43
56	54	42
57	55	40
58	55	39
59	56	38
60	57	37
61	58	36
62	59	35
63	59	34
64	60	33
65	61	32
66	62	31
67	62	30
68	63	28
69	64	27
70	65	26
71	65	25
72	67	25
73	67	24
74	68	23
75	69	22
76	69	21
77	70	20
78	71	19
79	71	18
80	72	17
81	73	16
82	74	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	78	9
89	79	8
90	80	8
91	80	7
92	81	6
93	82	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	85	0
