iter	Passed	Remaining
0	62	62065
1	63	31475
2	63	21231
3	64	16147
4	65	13069
5	66	11015
6	67	9549
7	68	8446
8	68	7595
9	69	6918
10	71	6385
11	74	6100
12	75	5709
13	76	5361
14	77	5061
15	78	4799
16	78	4565
17	79	4349
18	80	4158
19	81	3985
20	82	3829
21	83	3692
22	83	3563
23	84	3452
24	85	3346
25	87	3263
26	88	3175
27	89	3089
28	89	3010
29	90	2933
30	91	2863
31	92	2797
32	93	2734
33	94	2674
34	94	2617
35	95	2564
36	96	2512
37	97	2464
38	98	2419
39	99	2379
40	100	2341
41	101	2310
42	102	2276
43	103	2238
44	103	2202
45	104	2167
46	105	2135
47	106	2104
48	106	2075
49	107	2047
50	108	2021
51	109	1995
52	110	1969
53	111	1944
54	111	1923
55	112	1903
56	115	1906
57	117	1905
58	118	1891
59	119	1872
60	120	1855
61	121	1837
62	122	1818
63	123	1800
64	123	1782
65	124	1763
66	125	1746
67	126	1728
68	127	1713
69	127	1699
70	130	1709
71	131	1700
72	132	1685
73	133	1669
74	134	1655
75	134	1640
76	135	1626
77	136	1611
78	137	1598
79	137	1584
80	138	1570
81	139	1557
82	139	1541
83	140	1530
84	141	1521
85	142	1519
86	144	1512
87	145	1504
88	146	1495
89	147	1487
90	148	1480
91	149	1471
92	150	1463
93	150	1453
94	151	1445
95	152	1436
96	153	1427
97	154	1421
98	155	1415
99	157	1418
100	158	1413
101	159	1408
102	160	1401
103	161	1393
104	162	1387
105	163	1380
106	164	1373
107	165	1365
108	166	1357
109	166	1349
110	167	1341
111	168	1335
112	169	1329
113	170	1328
114	172	1324
115	173	1318
116	173	1310
117	174	1303
118	175	1296
119	176	1290
120	176	1283
121	177	1275
122	178	1269
123	178	1263
124	179	1257
125	180	1251
126	180	1243
127	181	1237
128	182	1233
129	183	1230
130	185	1227
131	186	1224
132	187	1219
133	187	1214
134	188	1209
135	189	1204
136	190	1199
137	191	1194
138	192	1190
139	193	1187
140	194	1184
141	194	1178
142	196	1175
143	197	1176
144	199	1174
145	200	1173
146	201	1169
147	202	1165
148	203	1161
149	204	1158
150	205	1157
151	206	1154
152	207	1149
153	208	1145
154	209	1141
155	210	1137
156	211	1137
157	212	1134
158	213	1130
159	214	1126
160	214	1120
161	215	1116
162	216	1111
163	217	1107
164	218	1103
165	218	1099
166	219	1095
167	220	1091
168	221	1087
169	221	1083
170	222	1079
171	223	1076
172	224	1073
173	226	1074
174	227	1071
175	228	1069
176	229	1066
177	230	1064
178	231	1061
179	232	1059
180	233	1056
181	234	1053
182	235	1051
183	238	1056
184	239	1054
185	240	1051
186	241	1048
187	242	1045
188	243	1042
189	243	1040
190	244	1037
191	245	1034
192	246	1031
193	247	1029
194	248	1026
195	249	1024
196	251	1024
197	252	1022
198	253	1019
199	254	1018
200	255	1016
201	256	1013
202	257	1011
203	258	1009
204	259	1007
205	260	1005
206	263	1007
207	264	1006
208	265	1004
209	266	1002
210	267	1000
211	269	1001
212	270	999
213	271	997
214	272	996
215	274	995
216	277	1001
217	280	1006
218	281	1004
219	282	1002
220	283	999
221	284	998
222	286	997
223	287	996
224	288	994
225	289	992
226	290	990
227	292	989
228	292	986
229	293	983
230	294	980
231	295	978
232	296	976
233	297	973
234	298	970
235	298	967
236	299	964
237	300	961
238	301	959
239	302	957
240	304	960
241	306	958
242	307	957
243	308	954
244	309	952
245	310	950
246	310	947
247	311	945
248	312	942
249	313	940
250	314	937
251	315	935
252	316	933
253	318	936
254	319	934
255	320	932
256	321	930
257	322	928
258	323	926
259	324	924
260	325	921
261	326	919
262	327	916
263	327	913
264	328	910
265	329	908
266	330	906
267	331	904
268	332	903
269	333	901
270	334	899
271	334	896
272	335	893
273	336	891
274	337	888
275	337	886
276	338	883
277	339	881
278	339	878
279	340	875
280	341	873
281	342	871
282	342	868
283	343	866
284	344	864
285	346	865
286	347	863
287	348	861
288	349	858
289	349	856
290	350	854
291	351	851
292	352	849
293	352	847
294	353	845
295	354	842
296	355	840
297	355	838
298	356	836
299	357	834
300	359	834
301	360	833
302	361	831
303	362	829
304	363	827
305	364	825
306	365	824
307	365	821
308	366	819
309	367	817
310	368	815
311	368	813
312	369	810
313	369	808
314	370	805
315	371	804
316	372	802
317	373	801
318	374	800
319	375	798
320	376	796
321	377	793
322	377	791
323	378	789
324	379	787
325	379	785
326	380	783
327	381	780
328	381	778
329	382	776
330	383	774
331	383	772
332	384	770
333	385	768
334	386	767
335	388	767
336	389	765
337	389	763
338	390	762
339	391	760
340	392	758
341	393	756
342	393	754
343	394	752
344	395	751
345	396	749
346	397	747
347	398	746
348	398	744
349	399	742
350	402	743
351	403	742
352	404	741
353	405	739
354	406	738
355	407	736
356	408	735
357	409	733
358	410	732
359	410	730
360	411	728
361	412	727
362	413	725
363	414	723
364	416	723
365	417	722
366	418	721
367	419	720
368	420	718
369	420	716
370	421	714
371	422	713
372	423	711
373	424	710
374	425	708
375	426	707
376	426	705
377	427	703
378	428	701
379	429	701
380	431	700
381	432	699
382	433	697
383	434	696
384	435	694
385	435	693
386	437	692
387	437	690
388	438	689
389	439	687
390	440	686
391	441	684
392	442	683
393	444	684
394	446	683
395	447	682
396	448	681
397	449	680
398	450	679
399	452	678
400	453	677
401	454	675
402	455	674
403	456	673
404	457	672
405	459	671
406	460	671
407	462	670
408	463	669
409	464	668
410	465	666
411	466	665
412	467	664
413	468	662
414	469	661
415	470	660
416	471	658
417	473	658
418	474	658
419	475	657
420	477	656
421	478	655
422	479	654
423	480	653
424	481	652
425	482	650
426	483	649
427	485	648
428	486	647
429	488	647
430	489	646
431	491	646
432	492	645
433	493	643
434	494	642
435	495	641
436	496	639
437	497	638
438	498	636
439	499	635
440	501	635
441	502	634
442	503	633
443	504	632
444	506	631
445	507	629
446	508	628
447	509	627
448	509	625
449	510	624
450	511	623
451	513	621
452	516	623
453	517	622
454	519	621
455	520	620
456	521	619
457	522	618
458	523	617
459	524	615
460	525	614
461	527	613
462	530	615
463	531	614
464	533	613
465	534	612
466	535	611
467	536	610
468	537	608
469	539	607
470	540	606
471	541	605
472	543	605
473	545	604
474	546	603
475	547	602
476	548	601
477	549	599
478	550	598
479	550	596
480	551	595
481	552	593
482	553	592
483	554	591
484	555	590
485	557	589
486	558	588
487	560	587
488	561	586
489	562	585
490	563	583
491	564	582
492	565	581
493	566	580
494	567	578
495	568	577
496	569	576
497	570	575
498	572	575
499	574	574
500	575	573
501	576	571
502	577	570
503	577	568
504	578	567
505	579	565
506	580	564
507	581	563
508	582	561
509	583	560
510	583	558
511	585	558
512	587	557
513	588	556
514	589	554
515	589	553
516	590	551
517	591	550
518	592	548
519	592	547
520	593	545
521	594	544
522	595	543
523	596	541
524	596	540
525	597	538
526	600	538
527	601	537
528	602	536
529	603	535
530	604	534
531	606	533
532	607	531
533	608	530
534	609	529
535	610	528
536	611	526
537	612	525
538	613	524
539	614	523
540	616	522
541	617	521
542	618	520
543	619	519
544	620	517
545	621	516
546	622	515
547	622	513
548	623	512
549	626	512
550	628	511
551	629	510
552	630	509
553	631	508
554	632	507
555	634	506
556	635	505
557	636	503
558	637	502
559	638	501
560	642	502
561	643	501
562	645	500
563	646	499
564	648	498
565	649	498
566	652	498
567	654	497
568	655	496
569	656	495
570	657	494
571	658	492
572	659	491
573	659	489
574	660	488
575	661	486
576	662	485
577	662	484
578	663	482
579	664	481
580	666	480
581	667	479
582	668	478
583	669	476
584	670	475
585	671	474
586	672	473
587	673	471
588	674	470
589	675	469
590	676	468
591	677	466
592	678	465
593	680	465
594	681	463
595	682	462
596	683	461
597	684	459
598	685	458
599	686	457
600	687	456
601	688	454
602	688	453
603	689	452
604	690	450
605	691	449
606	692	448
607	693	447
608	694	445
609	695	444
610	696	443
611	697	442
612	698	440
613	699	439
614	699	438
615	700	436
616	701	435
617	701	433
618	702	432
619	703	431
620	704	430
621	705	428
622	706	427
623	709	427
624	711	426
625	712	425
626	713	424
627	714	423
628	714	421
629	715	420
630	716	419
631	717	417
632	718	416
633	719	415
634	721	414
635	723	413
636	724	412
637	726	411
638	727	410
639	728	409
640	729	408
641	730	407
642	731	406
643	732	404
644	733	403
645	733	402
646	734	400
647	735	399
648	737	398
649	738	397
650	739	396
651	740	395
652	740	393
653	741	392
654	742	391
655	743	389
656	743	388
657	744	387
658	745	385
659	746	384
660	747	383
661	748	381
662	749	380
663	750	379
664	751	378
665	753	377
666	753	376
667	754	375
668	755	373
669	756	372
670	757	371
671	758	370
672	759	369
673	760	367
674	761	366
675	762	365
676	765	365
677	766	364
678	767	363
679	768	361
680	769	360
681	770	359
682	772	358
683	773	357
684	773	355
685	774	354
686	775	353
687	776	351
688	776	350
689	779	350
690	780	348
691	781	347
692	781	346
693	782	345
694	783	343
695	784	342
696	784	341
697	785	339
698	786	338
699	787	337
700	787	336
701	788	334
702	789	333
703	789	332
704	790	330
705	791	329
706	792	328
707	794	327
708	795	326
709	795	325
710	796	323
711	797	322
712	798	321
713	799	320
714	799	318
715	800	317
716	801	316
717	802	315
718	803	313
719	803	312
720	804	311
721	806	310
722	808	309
723	809	308
724	811	307
725	812	306
726	813	305
727	814	304
728	815	303
729	816	302
730	817	300
731	818	299
732	819	298
733	821	297
734	822	296
735	823	295
736	825	294
737	827	293
738	828	292
739	830	291
740	831	290
741	832	289
742	836	289
743	837	288
744	839	287
745	840	286
746	842	285
747	843	284
748	845	283
749	849	283
750	851	282
751	853	281
752	855	280
753	856	279
754	858	278
755	860	277
756	892	286
757	893	285
758	900	285
759	901	284
760	903	283
